"","subject","DN","DO_W","DO_S"
"1","101",0.414162710071379,0.372171009185199,0.843507044043897
"2","102",0.23616661149798,0.269472720142119,0.64721996515146
"3","103",0.415751317063672,0.541198420065104,0.87223392125959
"4","104",0.678128289378166,0.474514475310406,0.825654981136653
"5","105",0.122576993207194,0.129939010490616,0.701584153900583
"6","106",0.454389760789716,0.433851067727261,0.909163093046222
"7","107",0.531954030627615,0.360989122468588,0.762884009191484
"8","108",0.793889783748468,0.719732644465529,0.976509093150058
"9","109",0.780488653331302,0.672321150860384,0.964971640821063
"10","110",0.614141918305063,0.236383024380355,0.847637138301746
"11","111",0.384214640240584,0.480367054790967,0.891521535004035
"12","112",0.459168524233408,0.395784030876186,0.894233753842689
"13","113",0.840323784013372,0.568872837931972,0.975832997833964
"14","114",0.425436361611602,0.278270139273643,0.629519467395581
