"subject","LL","null_LL","calc_G2","df","p.value","fevals","gevals","niter","convcode"
"101",-23.4568336880715,-20.6844221369458,5.54482310225143,3,0.135982144243048,58,320,44,0
"102",-21.9750038321889,-21.8619879634219,0.226031737534058,3,0.973281353768088,46,251,34,0
"103",-21.5446836640294,-19.3636692805282,4.36202876700233,3,0.224932133488336,55,358,42,0
"104",-23.0480298472987,-19.7165264173919,6.66300685981365,3,0.0834508953016311,45,276,33,0
"105",-28.6383408447808,-17.6274007239371,22.0218802416875,3,0.0000645508720726085,63,343,48,0
"106",-22.755368693538,-20.0262051452192,5.45832709663778,3,0.141152473612816,55,276,39,0
"107",-21.7818051255076,-20.4272468583983,2.70911653421848,3,0.438680257418852,46,329,36,0
"108",-15.7122936533862,-13.6488206942465,4.12694591827938,3,0.248078520321821,74,303,45,0
"109",-17.6955802100094,-16.6258753582974,2.13940970342406,3,0.543981146939947,62,295,43,0
"110",-21.8842863550947,-20.4859220718869,2.79672856641544,3,0.424038736453721,42,252,32,0
"111",-21.2160916103067,-19.8506314389676,2.73092034267825,3,0.434998254508686,53,313,45,0
"112",-20.0164123194163,-19.9757402980506,0.0813440427313026,3,0.993978094777321,51,247,35,0
"113",-16.3449239633791,-15.0233696983133,2.64310853013158,3,0.449982135729914,63,269,40,0
"114",-24.4179111731556,-21.3415077927813,6.15280676074876,3,0.104407950026791,47,280,34,0
