"subject","DO_L","FD_L","DO_W","FD_W","DO_S","FD_S","GO_Cons","GO_Neut","GO_Lib","DN_L","DN_W","DN_S"
"101",0.0914617099867272,0.120135019708339,0.444378507435906,0.236577914201453,0.801142665634126,0.138485480691812,0.874004709174323,0.0813623465903568,-0.23547751306768,0.788403270304934,0.31904357836264,0.0603718536740627
"102",0.223626987288582,0.256622112340063,0.469825950891972,0.28168521409846,0.71563868420928,0.172294355394261,0.864808750349787,0.216846838554723,-0.0937380114732265,0.519750900371355,0.248488835009568,0.112066960396459
"103",0.110626794550164,0.233044025168291,0.563991027576266,0.351150033540439,0.931795764510835,0.0208815496866408,0.97925905108713,0.368228206876283,-0.236645312740076,0.656329180281545,0.0848589388832954,0.0473226858025247
"104",0.0435963336012327,0.169880312743401,0.605021879308196,0.201082678996675,0.791676797274157,0.186609427539047,0.999710571003311,0.423574921915449,0.00012729376674403,0.786523353655367,0.193895441695129,0.0217137751867963
"105",0.146030455977925,0.340715415143812,0.189960078705146,0.659403286561983,0.907587147941467,0.053016716488461,1.26545156892269,-0.279497024369395,-0.816344073277975,0.513254128878263,0.150636634732871,0.0393961355700719
"106",0.117828623536663,0.205771015331363,0.65523100021884,0.069524822225407,0.93171482020751,0.0494002910365454,1.06769268910813,0.610769700422076,0.0161963511281125,0.676400361131974,0.275244177555753,0.0188848887559442
"107",0.0580862779777075,0.290027194281043,0.46383289895733,0.363896956218716,0.757794332679032,0.200510035849312,0.99980340428346,0.418260076561197,0.00150715560428161,0.651886527741249,0.172270144823954,0.0416956314716563
"108",0.0271519642072437,0.0258752538798217,0.785045807568462,0.0915059906746256,0.999972965359707,0.0000107449576247368,1.02436450634704,0.439131738039143,-0.0935248988901868,0.946972781912935,0.123448201756912,0.0000162896826686178
"109",0.0425818127959027,0.0177851676737886,0.814502707244881,0.00366590187834333,0.943835233042955,0.048867907679412,0.740114349657125,0.233340618010838,-0.0679393220535052,0.939633019530309,0.181831390876776,0.00729685927763305
"110",0.0917447267548472,0.189124256296416,0.462677623589991,0.309320795979819,0.929505995756246,0.0217204598422313,1.12508815017822,0.646159339235298,0.405818788773033,0.719131016948737,0.22800158043019,0.0487735444015231
"111",0.074709818583518,0.254342677005439,0.579537671661265,0.191051825178407,0.889100272437734,0.0843587129214268,0.983997897184242,0.609670590072831,-0.123166051925662,0.670947504411043,0.229410503160328,0.0265410146408392
"112",0.143546054080451,0.144908649107024,0.47651569471205,0.303056821065057,0.91607493219544,0.0459003282865989,0.375057032215305,0.263219539314895,0.0910468161795979,0.711545296812525,0.220427484222893,0.0380247395179615
"113",0.0161965521618829,0.115002212506899,0.642089975080801,0.299986769826278,0.993333351872382,0.00000000321271833141708,0.986925596953907,0.485840770344554,0.451601273007967,0.868801235331218,0.0579232550929218,0.00666664491489916
"114",0.134279058491923,0.352479116024723,0.523682102631452,0.312937449677475,0.787961486207706,0.159065814279304,1.23868210033184,0.726115871276683,0.00374207848227393,0.513241825483354,0.163380447691073,0.0529726995129899
