"subject","DO_L","FD_L","DO_W","FD_W","DO_S","FD_S","b","b_C","b_N","b_L","mu.d","mu.g","sigma","nu","RO_DN.b","RO_DN.C","RO_DN.N","RO_DN.L","RO_FD.b","RO_FD.C","RO_FD.N","RO_FD.L","RO_DO.b","RO_DO.C","RO_DO.N","RO_DO.L","DN_L","DN_W","DN_S"
"101",0.175916082061151,0.547668971548047,0.643843106219529,0.232375501657162,0.939322903149781,0.0512148480974172,0.694886445984581,1.20280254248046,0.954672559266679,0.580817659935938,0.429925170912757,0.54408419700651,0.0522730031390086,0.185472519886568,0,0,0,0,0.305113554015419,0,0.0453274407333213,0.419182340064062,1,0.79719745751954,1,1,0.276414946390803,0.123781392123308,0.00946224875280219
"102",0.443766994895426,0.310365505238381,0.744186538439314,0.155276078484815,0.908597807293434,0.0517804225523348,0.563926087008649,1.33001124343476,1.06279163538977,0.796467113918656,0.478135276686568,0.661364302245428,0.0520692122154224,0.359505629716576,0,0,0,0,0.436073912991351,0,0,0.203532886081344,1,0.66998875656524,0.937208364610227,1,0.245867499866193,0.100537383075871,0.0396217701542315
"103",0.246657998683942,0.305990163558819,0.771162563580196,0.150695299068157,0.962009686847716,0.00000000012530669159275,0.778634522198048,1.22033889899396,0.956822666065932,0.0297582515811177,0.467870585184547,0.60145785473518,0.0583225315033313,0.0720411084594582,0,0,0,0,0.221365477801952,0,0.0431773339340675,0.970241748418882,1,0.779661101006042,1,1,0.447351837757239,0.078142137351647,0.0379903130269772
"104",0.0329509625927724,0.43665298650689,0.647986191248266,0.352013787167201,0.928263661196735,0.0717363388032647,0.71005811471415,1.11126915010567,0.77065245303487,0.552448005494153,0.490058910669135,0.570338484702221,0.0299317982093286,0.5,0,0,0,0,0.28994188528585,0,0.22934754696513,0.447551994505847,1,0.888730849894331,1,1,0.530396050900337,0.0000000215845333307783,5.94548978360738e-16
"105",0.664490078545365,0.242732048996412,0.848355181896696,0.117155657749729,0.981907395106638,0.00000868385227491501,0.477638687169151,1.7476275839812,1.00000000004208,-0.128880247644464,0.351103139412738,0.542708311527203,0.0725255202648959,0.181150030116237,0,0,0,0.128880247644464,0.522361312830849,0,0,1,1,0.252372416018802,0.999999999957923,1,0.0927778724582233,0.0344891603535754,0.0180839210410867
"106",0.140372233004054,0.331766399535691,0.69840039703692,0.129349296111467,0.972474956753193,0.000000000272024262137687,0.687628500560041,1.12329091938811,0.840542602432572,0.525130945608637,0.455889696717444,0.616118632484195,0.0878008740969234,0.329060778655035,0,0,0,0,0.312371499439959,0,0.159457397567428,0.474869054391363,1,0.876709080611889,1,1,0.527861367460255,0.172250306851613,0.027525042974783
"107",0.0844953576667362,0.278266314466903,0.600293066505973,0.242831021454889,0.939237261960606,0.000000000934876660933575,0.681732419073926,1.19909723127215,0.52174802570085,0.0747868401276472,0.562514839134899,0.721269857885028,0.0700753458826489,0.271226032425947,0,0,0,0,0.318267580926074,0,0.47825197429915,0.925213159872353,1,0.800902768727845,1,1,0.637238327866361,0.156875912039138,0.0607627371045178
"108",0.048074352760866,0.0711157704735274,0.758409885180612,0.0595018152394042,0.982831597498282,0.0000000000685309088427834,0.664276717998224,1.00991953146627,0.954290004273682,-0.0467333675584876,0.490451956187769,0.858602949989413,0.041960977626074,0.0904112262782331,0,0,0,0.0467333675584876,0.335723282001776,0,0.0457099957263183,1,1,0.990080468533733,1,1,0.880809876765607,0.182088299579984,0.0171684024331871
"109",0.0537790283959063,0.657510866152174,0.856313211026828,0.119145108609479,0.997355752207547,0.00264424548676662,0.918204082319417,1.04098797271291,1.02125536316808,0.905549350888939,0.470699272648808,0.61222510254849,0.0282752417766108,0.172331017153533,0,0,0,0,0.0817959176805829,0,0,0.0944506491110608,1,0.959012027287089,0.978744636831922,1,0.28871010545192,0.0245416803636928,0.00000000230568651302623
"110",0.159177070103857,0.542681399823298,0.581945629324777,0.418054366600355,0.949997053904569,0.0500029460952699,0.6723759008367,1.24618709871529,1.0135471727041,0.900246188868349,0.475356835882735,0.533526285836742,0.084283737136173,0.142184181683141,0,0,0,0,0.3276240991633,0,0,0.0997538111316512,1,0.753812901284705,0.986452827295897,1,0.298141530072845,0.00000000407486787118702,0.000000000000161614044465841
