"subject","model","DO_L","FD_L","DO_W","FD_W","DO_S","FD_S","b","mu.do","mu.g","mu.dn","sigma","nu"
"101","yoked",0.243996858051538,0.45077389121827,0.67097534610427,0.185374713045655,0.965846450975068,0.0242085348578221,0.724980585951994,0.430867997898318,0.549458323771869,NA,0.0510453807921935,0.196047223190178
"102","yoked",0.513288603520777,0.234270390842545,0.807006616918626,0.0916588228133386,0.967557812846649,0.000000000734206336869892,0.596701179967185,0.466950263389904,0.643372827978421,NA,0.01,0.416232129181911
"103","yoked",0.0000000181768230881716,0,0.66487378449115,1.21727536386127e-79,1,1.84396235615511e-145,0.262066147774042,0.492513018318355,0.452128638107498,NA,0.0492010823265539,0.188264974813119
"104","yoked",0.0000000179251966495708,0.456900588368366,0.636260763113638,0.363739235805391,0.981585816904849,0.0184141830951509,0.704671884705426,0.491655453791831,0.567333472256793,NA,0.0296370747802229,0.5
"105","yoked",0.0000000035033798367658,0.127245892457016,0.325413983705812,0.0922147533465139,0.889962556639234,1.12809806342691e-16,0.0582665445510175,0.539297473407933,0.347303704240196,NA,0.0698083643042196,0.231799234447091
"106","yoked",0.000000000165505410001905,0.167111939116816,0.834420449399306,0.100590119681495,0.999999999941205,0.00000000000136283977867755,0.513514015584449,0.506166048740312,0.513598030338683,NA,0.0966349626454203,0.413643107995646
"107","yoked",0.0771973030045072,0.277155375998215,0.710767454180615,0.210171245196791,0.999999999475025,0.00000000000037913274908983,0.70158931831227,0.571485214822599,0.688850590281641,NA,0.0797942030667586,0.292430615635928
"108","yoked",0.0653896577714856,0.0658253354578547,0.69995317860587,0.053008880672279,0.966940147365213,0.0000000000555445607971499,0.656276339604632,0.489981647513147,0.908021764820669,NA,0.0416217989430152,0.0921284870054788
"109","yoked",0.0569115698476497,0.651660835160055,0.921186187044401,0.0615190362613413,0.999999999935831,0.00000000000176974139598119,0.929483049762696,0.470373684388134,0.61029496521405,NA,0.0279395451376238,0.178150299616906
"110","yoked",0.36250801708157,0.286891776210016,0.702471496610137,0.211365968921405,0.999999998863118,8.55204036645424e-17,0.804855994110542,0.466791002403175,0.555683137002936,NA,0.0808835540910067,0.164166319172157
"111","yoked",0.212464523475908,0.60058829322322,0.663238971443681,0.278893922116785,0.967979256619834,0.000000000178244882438255,0.85914128632178,0.477933077890264,0.598422824682948,NA,0.0280787416244181,0.119783869541778
"112","yoked",0.237717656552833,0.525451542378129,0.73441146285213,0.20300290151104,0.995671352994311,0.00000000011213751766237,0.689353113741519,0.516153155926475,0.688928366075155,NA,0.0329462163483741,0.271770163324054
"113","yoked",0.0355415570595196,0.0561124185870894,0.642359323634762,0.0854667300929518,0.954834692447814,0.00824144605361124,0.765622156055274,0.601460718488595,1.15593589870674,NA,0.0467759719145848,0.131007206950889
"114","yoked",0.284839233162315,0.550922347616815,0.66037098743995,0.264564751565506,0.99999999970577,0.00000000000206742972235859,0.738976118202082,0.432246140638809,0.557838106713031,NA,0.0846439986245388,0.201559183009952
"101","unyoked",0.000000000359003423085622,0.0000000000264438270631518,0.575517463957949,0.0967402894079523,0.970822308028032,0.0291776919719685,0.433380564560059,0.427914950573367,0.461623886602686,0.544703987703066,0.0543903115579993,0.283419089274222
"102","unyoked",0.000000000987248195720445,0.0316581212031148,0.461294461074302,0.102462957099395,0.848664199485663,0.0476107668516239,0.214140951773575,0.54168589768986,0.487311054793415,0.674328768125568,0.0554639670515142,0.465178385113419
"103","unyoked",0.315427535535568,0.0382975479863738,0.727892241443042,0.000000150726002582714,0.897959228249056,9.83861686393504e-20,0.71765050634142,0.455358438167314,1.40430171300896,0.507355506303783,0.0511890428004942,0.0758604783728457
"104","unyoked",0.000000000117186509023613,0.37000800955834,0.587868132885272,0.412131867102601,0.96693358627241,0.0330664136928059,0.678890145553211,0.481740677501539,0.559394262744039,0.543226380139897,0.0264322538096216,0.5
"105","unyoked",0.1618815020424,0.0211327209866809,0.430038336028456,0.0420083408033721,0.908723082896718,0.0000000434015577900907,0.0661574376553558,0.436404939031797,0.347197071925562,0.535802434916832,0.0725824273368285,0.261076734440028
"106","unyoked",0.185371952741829,0.0675341436583396,0.671263672665356,0.0289013997770745,0.895929655294258,0.00512032656603927,0.478191296269409,0.483568553882429,1.54668426422385,0.548402343435525,0.0933771333061566,0.18062302124403
"107","unyoked",0.134887657857645,0.0716810448769937,0.563394745748718,0.101704234278301,0.835828934106059,0.000000000230806808663131,0.513156210974375,0.565290097537706,0.964721450548082,0.62448684556257,0.0667347136598759,0.188021331293031
"108","unyoked",0.0642750421623601,0.0671726285514318,0.69336049589092,0.0607519120118908,0.966798547224486,0.0000000000474357322466101,0.633719324889692,0.486551116989918,0.901517736393991,0.497314584574589,0.043381157682858,0.0887491592471533
"109","unyoked",0.0693256944897071,0.113706484792403,0.816517314279193,0.0415463341338745,0.994014802064066,0.0000000000904352392097324,0.906526578165685,0.479156659978996,0.936581074936231,0.562959534244326,0.0344551343803906,0.123350315198508
"110","unyoked",0.321191990321305,0.00000000231100012012927,0.559555219305796,0.0473172825846225,0.795918329523345,5.71308165620981e-18,0.485652613281416,0.465972901052293,2,0.519563539341769,0.0780227362263341,0.101908503956305
"111","unyoked",0.224656749707491,0.0512662013620905,0.60488224374471,0.101467787656389,0.901814810825369,0.00128026945504316,0.648120083278778,0.490784224188277,0.908854759235243,0.573985641141539,0.0452434379590836,0.0798640304036005
"112","unyoked",0.000000000186289090687283,0.00000000000285270891494853,0.560540964637995,0.067434656440698,0.999999999999105,0.000000000000179209276055424,0.282279550480193,0.498799901192105,0.561457352884479,0.658634342247525,0.043849517109267,0.431494048550786
"113","unyoked",0.035369428408016,0.0479783104223678,0.639179838491414,0.0831906579905444,0.953929568026762,0.00871718909993741,0.730949632307134,0.585902941903285,1.16382069160119,0.610856841998847,0.0429817875128097,0.134424402482885
"114","unyoked",0.262300200959469,0.408718145440798,0.658376374833161,0.253550237880074,0.999999999762173,0.0000000000764616355001436,0.696616659820409,0.426247537799388,0.547547480387051,0.524192211138743,0.0887600660902506,0.218252106819947
